,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1061698,85.0
1,Memento,2000,8.5,80,910376,85.0
2,Snatch,2000,8.3,55,643884,83.0
3,Requiem for a Dream,2000,8.4,68,618080,84.0
4,X-Men,2000,7.4,64,485765,74.0
5,Cast Away,2000,7.7,73,422451,77.0
6,American Psycho,2000,7.6,64,383889,76.0
7,Unbreakable,2000,7.2,62,274160,72.0
8,Meet the Parents,2000,7.0,73,272141,70.0
9,Mission: Impossible II,2000,6.1,59,256914,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,239056,78.0
11,Gone in Sixty Seconds,2000,6.5,35,228283,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,226006,79.0
13,The Patriot,2000,7.1,63,218766,71.0
14,Almost Famous,2000,7.9,90,217482,79.0
15,Pitch Black,2000,7.1,49,201434,71.0
16,Scary Movie,2000,6.2,48,196580,62.0
17,"Me, Myself & Irene",2000,6.6,49,194224,66.0
18,Final Destination,2000,6.7,36,191175,67.0
19,The Beach,2000,6.6,43,188157,66.0
20,Amores Perros,2000,8.1,83,184938,81.0
21,Traffic,2000,7.6,86,176250,76.0
22,Remember the Titans,2000,7.8,48,169590,78.0
23,What Women Want,2000,6.4,47,166832,64.0
24,Chocolat,2000,7.3,64,157119,73.0
25,How the Grinch Stole Christmas,2000,6.0,46,153663,60.0
26,Charlie's Angels,2000,5.5,52,151300,55.0
27,High Fidelity,2000,7.5,79,149058,75.0
28,Chicken Run,2000,7.0,88,148254,70.0
29,Miss Congeniality,2000,6.2,43,147694,62.0
30,Battle Royale,2000,7.7,81,145753,77.0
31,Erin Brockovich,2000,7.3,73,143389,73.0
32,The Emperor's New Groove,2000,7.3,70,139018,73.0
33,Road Trip,2000,6.5,55,138905,65.0
34,The Perfect Storm,2000,6.4,59,138064,64.0
35,"Dude, Where's My Car?",2000,5.5,30,120797,55.0
36,Hollow Man,2000,5.7,24,106538,57.0
37,Scream 3,2000,5.5,56,103818,55.0
38,The 6th Day,2000,5.9,49,103736,59.0
39,Billy Elliot,2000,7.7,74,103200,77.0
40,Shanghai Noon,2000,6.6,77,102142,66.0
41,What Lies Beneath,2000,6.6,51,102029,66.0
42,Pay It Forward,2000,7.2,40,100507,72.0
43,Coyote Ugly,2000,5.6,27,94444,56.0
44,The Whole Nine Yards,2000,6.7,47,94126,67.0
45,Men of Honor,2000,7.2,56,93868,72.0
46,The Family Man,2000,6.7,42,89881,67.0
47,Frequency,2000,7.4,67,86655,74.0
48,Bedazzled,2000,6.0,49,85280,60.0
49,Little Nicky,2000,5.3,38,84457,53.0
50,Dancer in the Dark,2000,8.0,61,84051,80.0
51,In the Mood for Love,2000,8.1,85,84045,81.0
52,The Cell,2000,6.3,40,83247,63.0
53,Finding Forrester,2000,7.3,62,75185,73.0
54,Bring It On,2000,5.9,52,73606,59.0
55,Malèna,2000,7.5,54,70523,75.0
56,Big Momma's House,2000,5.1,33,70296,51.0
57,U-571,2000,6.6,62,68132,66.0
58,Battlefield Earth,2000,2.4,9,67542,24.0
59,The Road to El Dorado,2000,6.9,51,64229,69.0
60,Space Cowboys,2000,6.4,73,63013,64.0
61,Mission to Mars,2000,5.6,34,62824,56.0
62,Shaft,2000,5.9,50,60794,59.0
63,Romeo Must Die,2000,6.1,52,59201,61.0
64,Wonder Boys,2000,7.4,73,56246,74.0
65,The Gift,2000,6.7,62,54624,67.0
66,Titan A.E.,2000,6.6,48,53765,66.0
67,Vertical Limit,2000,5.9,48,51639,59.0
68,The Crimson Rivers,2000,6.9,49,50717,69.0
69,Proof of Life,2000,6.2,45,50568,62.0
